name,city,country,my_rating,comment,dates_stayed,latitude,longitude,google_rating,review_count
Nha Tan Homestay & tours,Mau Chau,Vietnam,3,"Very beautiful location, nice family!",25/05/25 - 28/05/25,20.6601654,105.0724656,4.9,133
Valley Hotel & Travel,Hanoi,Vietnam,1,Awful ...,28/05/25 - 29/05/25,21.0314405,105.8551166,4.0,75
Shinning Central Hotel & Spa,Hanoi,Vietnam,4,Sadly pool was shut,29/05/25 - 31/05/25,21.0315644,105.8552379,4.8,1321
D&D Eco SAPA,Sapa,Vietnam,5,Lovely staff & cute dogs,31/05/25 - 04/06/25,22.2971197,103.9113221,4.7,327
The Garden Hotel II,Ha Giang,Vietnam,3,,04/06/25 - 05/06/25,22.8208972,104.9842465,4.7,58
Bibis Ha Giang Loop ,Ha Giang,Vietnam,6,"Amazing views, lovely people, good food and accom",05/06/25 - 08/06/25,22.819342,104.9860406,5.0,1743
Tam Coc Green Garden Bungalow,Ninh Binh,Vietnam,4,"Cute, friendly & quiet",08/06/25 - 12/06/25,20.2114739,105.934403,4.4,189
Dragon Legend Luxury Cruise,Bai Tu Long Bay,Vietnam,5,Beautiful ship,12/06/25 - 13/06/25,21.0437707,105.8450726,4.7,127
San Palace Hotel,Hanoi,Vietnam,5,"Close to train street, roof top pool & bar!",13/06/25 - 16/06/25,21.0289234,105.8447628,4.8,535
The Namkhan,Luang Prabang,Laos,5,4 Nights in luxury ,16/06/25 - 20/06/25,19.8985456,102.1749624,4.7,218
Golden Sun boutique hotel,Luang Prabang,Laos,3,good location!,20/06/25 - 21/06/25,19.8911035,102.1337501,4.2,82
Mekong Riverside Lodge,Pakbeng,Laos,3,"Nice view from my balcony over the river! Basic room, comfy and clean.",21/06/25 - 23/06/25,19.8922039,101.1285442,4.3,208
Thadan Guesthouse,Huay Xai,Laos,3,"room was clean & comfy, staff a little unfriendly",23/06/25 -24/06/25,20.2766658,100.4115312,3.6,53
Mercy Hostel,Chiang Rai,Thailand,4,"6 bed female dorm, nice hostel with a samll gym & shallow pool. Very quiet but met some nice girls in the room.",24/06/25 - 25/06/25,19.9045338,99.830175,4.7,638
Family home 2,Chiang Mai ,Thailand,3,Hostel was fine... a little too boyish,25/06/25 - 27/06/25,18.7803672,98.9881056,4.8,170
Lullaby Hostel,Chiang Mai,Thailand,4,"Nice hostel, quiet but fairly social",27/06/25 - 29/06/25,18.7847583,98.9872098,4.7,233
The Robertson Bukit Bintang Luxe Suites,Kuala Lumpur,Malaysia,4,Swimming pool!,29/06/25 - 04/07/25,3.1437918,101.7041942,4.0,23
Chuan Heang Room - Armenian stree Air bnb,George Town,Malaysia,4,Fab location and lovely interior,04/07/25 - 08/07/25,5.4290332,100.3128101,4.9,102
"Tanjung Rhu Villas, the Bohimian",Langkawi,Malaysia,3,Cute place! Slightly impractical layout - steep stairs. Fab location!,08/07/25 - 13/07/25,6.4343631,99.79981,4.4,140
Bangau - capsual hostel,Kuala Lumpur,Malaysia,2,Spenny for what it was but convienient,13/07/25 - 14/07/25,2.7682361,101.6972111,4.1,53
Lavendar Lodge,Kota Kinabalu,Malaysia,3,"Private room, was basic but okay",14/07/25 - 15/07/25 & 21/07/25 - 22/07/25 & 25/07/25 - 29/07/25,5.9783121,116.074087,4.0,126
Kiau Village Homestay,Kiau Village,Malaysia,3,Basic but lovely host!,15/07/25 - 16/07/25,6.021268999999999,116.4895459,4.1,33
Sepilok Forest Edge Resort,Sepilok,Malaysia,4,,16/07/25 - 17/07/25,5.8666847,117.9555179,4.4,569
Tanini Lodge ,Kinabatangan,Malaysia,3,,17/07/25 - 19/07/25,5.4949574,118.2059786,4.5,189
Danum Valley Field Center,Danum Valley,Malaysia,3,Twin room - Hot!,19/07/25 - 21/07/25,4.9647974,117.8050773,4.3,102
Mulu HQ Hostel ,Mulu National Park,Malaysia,3,Nice and Quiet & a fab location in the park,22/07/25 - 25/07/25,4.0424623,114.8118452,4.8,336
Jirran Hostel,Kota Kinabalu,Malaysia,3,"Not bad, would have been a good place to stay if I wasnt ill",29/07/25 - 01/08/25,5.9874306,116.0789855,4.7,52
K avenue apartments,Kota Kinabalu,Malaysia,2,Fine but the bathroom stunk,01/08/25 - 05/08/25,5.912872999999999,116.0642438,3.3,247
Surg wg,Canggu,Indonesia,4,Nice dorms!!,05/08/25 - 10/08/25,-8.6482408,115.1540035,4.8,368
Sunshine Village House ,Ubud,Indonesia,5,One of the nicest hostels Ive stayed at,10/08/25 - 13/08/25,-8.516339499999999,115.2621547,4.9,190
Bubus hoestay tulumben,Tulamben,Indonesia,4,Dive hostel - comfy beds,13/08/25 - 17/08/25,-8.2781938,115.5924153,4.7,45
Hotel Suma,Lovina,Indonesia,4,"Cute hotel, found on airbnb",17/08/25 - 20/08/25,-8.1517275,115.035892,4.2,554
In da Lodge,Ubud,Indonesia,4,Basic but nice,20/08/25 - 22/08/25,-8.5055521,115.2577724,4.0,381
Bajo bunkhouse,Labuan Bajo,Indonesia,3,Basic and not social,22/08/25 - 25/08/25,-8.4968273,119.8806872,4.7,46
Wunderpus Liveaboard - Mimic,Komodo National Park,Indonesia,5,"Small boat, slept under the stars, gorgeous",25/08/25 - 28/08/25,-8.495224499999999,119.8786474,5.0,278
Golo Hilltop Hotel,Labuan Bajo,Indonesia,4,Lovely view,28/08/25 - 30/08/25,-8.4827125,119.8802031,4.5,350
Green Haven Homestay,Tetebatu Lombok,Indonesia,4,Lovely people & Nice location near Rinjani,30/08/25 - 01/09/25,-8.5590123,116.4247639,4.9,91
Mana Eco Retreat ,Kuta Lombok,Indonesia,5,"Lovely hostel / retreat with yoga all day and a pool, restaurant was incredible",01/09/25 - 07/09/25,-8.8874265,116.2725171,4.7,557
Tipsea Turtle,Gili Air,Indonesia,4,"Free yoga, activities everyday, chill but a little spenny for the quality of the accom",07/09/25 - 10/09/25,-8.3529387,116.0864524,4.8,245
Meno Madia bungalow,Gili Meno,Indonesia,4,Lovely staff and cute bungalow,10/09/25 - 11/09/25,-8.347736099999999,116.0578835,4.8,61
Captain Coconuts,Gili Air,Indonesia,4,Hanging beds in a bamboo tree house,11/09/25 - 14/09/25,-8.3613119,116.0783776,4.7,372
Blue Corner Dive Center,Nusa Lembongan,Indonesia,3,basic room but v affordable,14/09/25 - 18/09/25,-8.6665148,115.4489658,4.9,317
Karma backpackers,Uluwatu,Indonesia,4,,18/09/25 - 20/09/25,-8.808612,115.112891,4.2,139
Dream Lodge @ Farrer Park,Singapore,Singapore,4,,20/09/25 - 23/09/25,1.3102332,103.8583127,4.4,73
